Nombre,Símbolo,Precio_USD,Market_Cap_USD,Volumen_24h_USD
CoinMarketCap 20 Index DTF,CMC20,151.09,0.0,340191822510.0
Bitcoin,BTC,74344.86,0.0,6.058863632782246e+16
Ethereum,ETH,2176.78,0.0,3.8909747103180897e+18
Tether,USDT,0.9989,0.0,1.2316137424112324e+23
BNB,BNB,742.02,0.0,2.350387381316e+16
XRP,XRP,1.54,0.0,3.4392021152230003e+19
USDC,USDC,0.9998,0.0,1.71280358421713e+21
Solana,SOL,97.69,0.0,4.7182965404829e+17
TRON,TRX,0.2815,0.0,6.4982531723e+18
Dogecoin,DOGE,0.1033,0.0,1.6091436651556e+20
Bitcoin Cash,BCH,515.04,0.0,5301193181020000.0
Cardano,ADA,0.2847,0.0,6.35764949223e+18
Hyperliquid,HYPE,33.04,0.0,1.1099473293358e+17
UNUS SED LEO,LEO,8.7,0.0,4749467545400.0
Monero,XMR,372.37,0.0,115147300309220.0
Aerodrome Finance,AERO,0.377,0.0,2157145057210000.0
AINFT,NFT,0.063468,0.0,0.0
Maple Finance,SYRUP,0.2962,0.0,1855197562620000.0
ether.fi,ETHFI,0.4871,0.0,4147255185120000.0
BitTorrent [New],BTT,0.063432,0.0,0.0
Lido DAO,LDO,0.3994,0.0,3794718495000000.0
Decred,DCR,19.28,0.0,4600767238530.0
FLOKI,FLOKI,3.413e-05,0.0,0.0
Celestia,TIA,0.3606,0.0,3203127888820000.0
The Graph,GRT,0.02898,0.0,2.096659872326e+16
IOTA,IOTA,0.07195,0.0,1.676841223303e+16
Bitcoin SV,BSV,14.63,0.0,200612301370000.0
JasmyCoin,JASMY,0.005903,0.0,2.0811629352e+17
Starknet,STRK,0.05483,0.0,5.356384297676e+16
Gnosis,GNO,108.98,0.0,475149443590.0
Rain,RAIN,0.008808,0.0,4.0212617456e+17
Falcon USD,USDf,0.9939,0.0,73972897440000.0
Jupiter Perps LP,JLP,3.94,0.0,4021795910190000.0
Ondo US Dollar Yield,USDY,1.12,0.0,11829341050000.0
Beldex,BDX,0.08109,0.0,9544863117700000.0
Usual USD,USD0,0.9971,0.0,649470651350.0
GHO,GHO,0.999,0.0,18434081840000.0
USDai,USDAI,0.9991,0.0,17415711739999.998
Fasttoken,FTN,1.08,0.0,1229053611300000.0
c8ntinuum,CTM,0.09548,0.0,112131211740000.0
Legacy Frax Dollar,FRAX,0.9913,0.0,49354614970000.0
Undeads Games,UDS,2.18,0.0,516242236100.0
Ultima,ULTIMA,5744.43,0.0,157812012740.0
Ape and Pepe,APEPE,0.05101,0.0,0.0
Doge Killer,LEASH,0.0001926,0.0,909547200000.0
Qubic,QUBIC,0.065166,0.0,0.0
Axelar,AXL,0.06196,0.0,4.12999016665e+16
Alchemist AI,ALCH,0.08121,0.0,2.153708426519e+16
MindWaveDAO,NILA,0.08129,0.0,3870514760000.0
VVS Finance,VVS,0.051567,0.0,6.0143338377e+17
Paycoin,PCI,0.06419,0.0,5548918640000.0
Tesla tokenized stock (xStock),TSLAX,414.26,0.0,3516079084870.0
aelf,ELF,0.08307,0.0,197974823830000.0
Waves,WAVES,0.5549,0.0,2766347949850000.0
Kava,KAVA,0.06141,0.0,569009692650000.0
Alphabet Class A Tokenized Stock (Ondo),GOOGLon,338.05,0.0,359756110640.0
InitVerse,INI,0.1211,0.0,139380111500000.0
AI Rig Complex,ARC,0.06617,0.0,1.949052529453e+16
Moca Network,MOCA,0.01669,0.0,6276510375900000.0
SushiSwap,SUSHI,0.2267,0.0,1337801559000000.0
Pax Dollar,USDP,0.9988,0.0,943464944500.0
GeorgePlaysClashRoyale,CLASH,0.04704,0.0,225282947880000.0
Pundi X (New),PUNDIX,0.1809,0.0,233711112910000.0
BORA,BORA,0.04235,0.0,5082243119980000.0
Chia,XCH,3.22,0.0,2949670915420.0
Terra,LUNA,0.06452,0.0,1.093477916946e+16
LCX,LCX,0.04806,0.0,103803021590000.0
Tether EURt,EURt,1.25,0.0,0.0
Storj,STORJ,0.1075,0.0,804903874850000.0
Enjin Coin,ENJ,0.02335,0.0,6810870291560000.0
Constellation,DAG,0.01549,0.0,1756635113340000.0
SKALE,SKL,0.007296,0.0,1.3941090191e+17
EGL1,EGL1,0.04429,0.0,417835194320000.0
Notcoin,NOT,0.0004406,0.0,8.858139201e+17
AI Analysis Token,AIAT,0.2987,0.0,3685821230000.0
Banana For Scale,BANANAS31,0.003379,0.0,7.577458224e+16
Cyber,CYBER,0.5733,0.0,8.803323915353e+16
Particle Network,PARTI,0.07619,0.0,7923313103990000.0
GoPlus Security,GPS,0.007967,0.0,2.4138715302e+17
OWB,OWB,0.07377,0.0,247075233480000.0
Acurast,ACU,0.1547,0.0,1.975842212769e+16
IQ,IQ,0.001346,0.0,1.788626132e+16
WAX,WAXP,0.007374,0.0,5553418753070000.0
OpenLedger,OPEN,0.1549,0.0,1173147275700000.0
Giggle Fund,GIGGLE,33.56,0.0,20196593601790.0
Shentu,CTK,0.2143,0.0,21213249890000.0
Space and Time,SXT,0.02374,0.0,7948996334790000.0
Civic,CVC,0.03321,0.0,4951848149080000.0
Kyber Network Crystal v2,KNC,0.1732,0.0,534682830860000.0
Liquity USD,LUSD,0.9999,0.0,323897323920.0
Hippo Protocol,HP,0.01968,0.0,107092354410000.0
Chromia,CHR,0.02948,0.0,3740583126840000.0
Global Commercial Business,GCB,0.0208,0.0,41019680.0
Hivemapper,HONEY,0.004497,0.0,651645144890000.0
Bifrost,BFC,0.01796,0.0,94578352640000.0
Isiklar Coin,ISIKC,0.2474,0.0,4535031830000.0
Goatseus Maximus,GOAT,0.02462,0.0,4956770201320000.0
Smooth Love Potion,SLP,0.0006747,0.0,2.90325043e+16
Limitless,LMTS,0.1855,0.0,371183420000000.0
Enso,ENSO,1.18,0.0,7809520765930000.0
Phala Network,PHA,0.02939,0.0,9724960330780000.0
wojak (wojakcto.com),WOJAK,0.077321,0.0,0.0
Coin98,C98,0.02433,0.0,3.5035432143e+17
Sapien,SAPIEN,0.09731,0.0,517482453170000.0
Wirex Token,WXT,0.002414,0.0,298984123840000.0
Osaka Protocol,OSAK,0.07246,0.0,2.198789359e+16
